,Stazione,Data inizio,Data fine,Strumento,PM2.5,Unità di misura,F1,F2,F3,F4
214,GIARDINI MARGHERITA,02/08/2010,03/08/2010,FAI SWAM 5A,13.0,ug/m3,,1,1,1
215,GIARDINI MARGHERITA,03/08/2010,04/08/2010,FAI SWAM 5A,13.0,ug/m3,,1,1,1
216,GIARDINI MARGHERITA,04/08/2010,05/08/2010,FAI SWAM 5A,9.0,ug/m3,,1,1,1
217,GIARDINI MARGHERITA,05/08/2010,06/08/2010,FAI SWAM 5A,6.0,ug/m3,,1,1,1
218,GIARDINI MARGHERITA,06/08/2010,07/08/2010,FAI SWAM 5A,3.0,ug/m3,,1,1,1
219,GIARDINI MARGHERITA,07/08/2010,08/08/2010,FAI SWAM 5A,6.0,ug/m3,,1,1,1
220,GIARDINI MARGHERITA,08/08/2010,09/08/2010,FAI SWAM 5A,8.0,ug/m3,,1,1,1
221,GIARDINI MARGHERITA,09/08/2010,10/08/2010,FAI SWAM 5A,15.0,ug/m3,,1,1,1
222,GIARDINI MARGHERITA,10/08/2010,11/08/2010,FAI SWAM 5A,17.0,ug/m3,,1,1,1
223,GIARDINI MARGHERITA,11/08/2010,12/08/2010,FAI SWAM 5A,15.0,ug/m3,,1,1,1
224,GIARDINI MARGHERITA,12/08/2010,13/08/2010,FAI SWAM 5A,16.0,ug/m3,,1,1,1
225,GIARDINI MARGHERITA,13/08/2010,14/08/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
226,GIARDINI MARGHERITA,14/08/2010,15/08/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
227,GIARDINI MARGHERITA,15/08/2010,16/08/2010,FAI SWAM 5A,4.0,ug/m3,,1,1,1
228,GIARDINI MARGHERITA,16/08/2010,17/08/2010,FAI SWAM 5A,3.0,ug/m3,,1,1,1
229,GIARDINI MARGHERITA,17/08/2010,18/08/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
230,GIARDINI MARGHERITA,18/08/2010,19/08/2010,FAI SWAM 5A,9.0,ug/m3,,1,1,1
231,GIARDINI MARGHERITA,19/08/2010,20/08/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
232,GIARDINI MARGHERITA,20/08/2010,21/08/2010,FAI SWAM 5A,17.0,ug/m3,,1,1,1
233,GIARDINI MARGHERITA,21/08/2010,22/08/2010,FAI SWAM 5A,21.0,ug/m3,,1,1,1
234,GIARDINI MARGHERITA,22/08/2010,23/08/2010,FAI SWAM 5A,15.0,ug/m3,,1,1,1
235,GIARDINI MARGHERITA,23/08/2010,24/08/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
236,GIARDINI MARGHERITA,24/08/2010,25/08/2010,FAI SWAM 5A,8.0,ug/m3,,1,1,1
